기준일자,가맹점행정동코드,고객주소광역시도,고객주소시군구,업종대분류,카드이용금액계,카드이용건수계
20230101,1150064000,서울,마포구,LPG가스,1115040,32
20230101,1114055000,강원,,생활잡화/수입상품점,262168,21
20230101,1144061000,서울,서대문구,결제대행(PG),8814789,37
20230101,1165053000,서울,구로구,한식,664763,32
20230101,1121573000,서울,중구,커피전문점,147369,16
20230101,1153056000,서울,관악구,편의점,930615,171
20230101,1171068000,경기,의정부시,패스트푸드,126011,21
20230101,1132070000,서울,도봉구,커피전문점,1562861,294
20230101,1165065100,경기,평택시,편의점,98246,21
20230101,1147067000,서울,구로구,기타요식,509385,16
20230101,1150060300,경기,오산시,가전,126182230,69
20230101,1120056000,서울,용산구,편의점,348667,37
20230101,1156055000,전북,,ZZ_나머지,319300,230
20230101,1114055000,울산,,택시,26649215,3583
20230101,1129077000,서울,노원구,농수산물,309689,21
20230101,1114060500,경기,의왕시,결제대행(PG),17831783,384
20230101,1123056000,경기,양주시,편의점,143098,27
20230101,1171064200,서울,강서구,커피전문점,81160,21
20230101,1120069000,서울,중랑구,한식,2570952,85
20230101,1150059000,인천,중구,주유소,624717,16
20230101,1135061100,경기,남양주시,커피전문점,444777,59
20230101,1168070000,경기,성남시,자동차서비스,694130,21
20230101,1171071000,경기,김포시,패스트푸드,248819,16
20230101,1135061100,경기,고양시,한식,2082391,16
20230101,1171065000,부산,,기타요식,2837925,37
20230101,1156054000,서울,구로구,제과점,1307101,64
20230101,1141072000,경기,고양시,슈퍼마켓일반형,130550,16
20230101,1165052000,서울,노원구,한식,191687,16
20230101,1114054000,경기,수원시,기타요식,136156,16
20230101,1114055000,경기,부천시,의복/의류,1435782,16
20230101,1114065000,서울,중구,세탁소,533946,27
20230101,1121586000,서울,중랑구,패스트푸드,385509,21
20230101,1153054000,경기,성남시,한식,945085,21
20230101,1165053000,경기,수원시,스포츠시설,242946,32
20230101,1156055000,서울,양천구,할인점/슈퍼마켓/양판점,561765,16
20230101,1168061000,경기,광명시,의복/의류,2823851,48
20230101,1171060000,서울,동작구,편의점,209307,37
20230101,1168064000,서울,용산구,스포츠/레저용품,2195054,16
20230101,1150051000,부산,,한식,528607,21
20230101,1168061000,경기,남양주시,한식,373763,27
20230101,1162074500,서울,관악구,슈퍼마켓일반형,16854287,988
20230101,1162059500,서울,관악구,패션잡화,3961883,32
20230101,1144066000,서울,구로구,중식,452253,21
20230101,1129081000,서울,성북구,정육점,1045467,32
20230101,1138069000,충남,,편의점,110260,16
20230101,1171071000,서울,송파구,커피전문점,5143613,764
20230101,1165054000,인천,연수구,편의점,115866,21
20230101,1171056200,서울,용산구,주유소,727876,16
20230101,1130557500,서울,성북구,생활잡화/수입상품점,1184293,16
20230101,1150060300,인천,연수구,ZZ_나머지,709081,43
20230101,1135060000,서울,강동구,스포츠/레저용품,28833,21
20230101,1174061000,서울,광진구,슈퍼마켓일반형,1057214,27
20230101,1138057000,서울,서대문구,영화/공연,598020,43
20230101,1156053500,서울,관악구,중식,2511684,64
20230101,1126066000,서울,중랑구,기타식품,820676,144
20230101,1150059100,강원,,편의점,323251,37
20230101,1126062000,서울,동대문구,기타요식,1705959,43
20230101,1168075000,경기,양주시,ZZ_나머지,17313908,208
20230101,1117052000,경기,화성시,편의점,107857,27
20230101,1154561000,경기,남양주시,편의점,246683,32
20230101,1114055000,서울,동작구,상품권/복권,6407358,166
20230101,1150062000,경기,광주시,여행사/항공사,35371818,32
20230101,1117053000,경기,이천시,ZZ_나머지,508317,53
20230101,1114060500,전남,,결제대행(PG),159372209,2563
20230101,1165053000,서울,서대문구,학원/학습지,3368134,27
20230101,1120061500,서울,노원구,한식,226927,16
20230101,1138069000,경기,성남시,편의점,59535,21
20230101,1153073000,경기,광명시,편의점,175935,27
20230101,1168058000,서울,노원구,ZZ_나머지,4444303,1287
20230101,1111063000,경기,수원시,기타요식,528607,21
20230101,1150063000,서울,강남구,편의점,53929,16
20230101,1114055000,경기,이천시,택시,14446296,1596
20230101,1144055500,서울,영등포구,일식,1900849,16
20230101,1114060500,서울,강남구,전자상거래(다품목취급),838349,21
20230101,1117055500,서울,영등포구,기타요식,643405,75
20230101,1117062500,서울,서대문구,대형마트,11365691,150
20230101,1144066000,경기,평택시,ZZ_나머지,313961,48
20230101,1168065600,경기,광주시,생활잡화/수입상품점,371627,37
20230101,1171063100,경기,수원시,서적,1174682,21
20230101,1153055000,경기,부천시,기타요식,160184,16
20230101,1144068000,인천,남동구,한식,572925,21
20230101,1111054000,경기,안산시,기타요식,503512,32
20230101,1168065000,서울,강남구,기타요식,4572557,379
20230101,1171068000,서울,중구,편의점,56598,16
